ID,artist_names,artist_ids,release_date,release_date_precision
6J2VvzKwWc2f0JP5RQVZjq,The HU,0b2B3PwcYzQAhuJacmcYgc,2018-10-14,day
4HA34COgxgVJ6zK88UN4Ik,Gloryhammer,7dkEByOe0oHqc54qU4hwzV,2019-04-12,day
3W6Xik6Xxf06JuUoZSATlD,"Orion's Reign,Minniva","3hRL14TJtJqr7i1IH3D1pU,50KIyycosYOGrBHfLaI1Ju",2018-10-05,day
2gGveBaLJQMtJ43X4UL5kH,Brothers of Metal,0WPCPYm5IDNtQjuJOGNPcy,2018-11-09,day
1lRF81A1C9QoCgBcEop2zg,Powerwolf,5HFkc3t0HYETL4JeEbDB1v,2018-07-13,day
3lUQ6y8XeeaoK2hPydcX9c,Mono Inc.,1189BemPY7h2lgaH1pkzGX,2018-07-27,day
6sXsi4DsxtpI4BnfhaG77v,Eluveitie,5X0N2k3qMnI8kSrGJT3kfT,2019-03-15,day
3Mz5lXbMBK2tUmKAwAJwi1,Orden Ogan,3t5X2CVDf5mrlIx1SdvWYM,2017-07-07,day
7AstJIsEomp0hJyMasOqLN,Battle Beast,7k5jeohQCF20a8foBD9ize,2019-01-18,day
1L4UqbKtfM4bk3UdOzrXny,"Timo Tolkki’s Avalon,Todd Michael Hall","6UkYfNV9Y4kp00UT4D2djV,5ZLa4aUwDkoflqCXq81x4A",2019-04-23,day
3RHQgksnzhtbgBpFwYhMgr,Týr,6TmGNPW2oDM5uaXBILozGa,2019-03-04,day
4sBlQ2yaxrj8zF7J8EE6cA,Gloryhammer,7dkEByOe0oHqc54qU4hwzV,2013-01-01,day
0qoznAGKZOBgne7MiycPPc,Bloodbound,6nf7iwR6AoROxfUKZWd1r6,2019-02-01,day
2xCPy6z5qUIwHMHyRBRVSx,Rhapsody Of Fire,2GnCQNJbs4xqFulqAdAg2U,2019-02-22,day
2R9VjDWhLhQ6LsQBcmRBYK,Eluveitie,5X0N2k3qMnI8kSrGJT3kfT,2019-02-01,day
7JToOyehVvHHHqxHPwS9La,Týr,6TmGNPW2oDM5uaXBILozGa,2019-01-10,day
1mDupi4yX9KQ3Wh6oSYqNP,Saor,4rHMzJ1RKUMtid1K2QEYbr,2019-02-15,day
0uk6pxp37C1pyiEJlArHjw,Rhapsody Of Fire,2GnCQNJbs4xqFulqAdAg2U,2019-01-11,day
6PFnze11f9ykaDJCL6zSFx,Mongol,3LBx7vONslSdXt0mL2TNzv,2018-10-05,day
734y7nJZ0cPOACIoT9kWyV,Sabaton,3o2dn2O0FCVsWDFSh8qxgG,2012-05-22,day
4Zba3X2hKnwFE6dRG3jFNz,Hexvessel,3rLgIB7dHh2MGYpiOMajJI,2019-01-18,day
7r69jRvCu24KhEIjqXnpyZ,Brothers of Metal,0WPCPYm5IDNtQjuJOGNPcy,2018-12-12,day
1wEZ5CJdokm8DivSInRptl,Eluveitie,5X0N2k3qMnI8kSrGJT3kfT,2018-11-16,day
5n4Ale9oujD3ZsfAM2NFG0,Ancient Bards,3ZlSRBv3StWrGuGTAwKskP,2019-01-11,day
1JEGjPLCw77ZfeVZbF7Kl2,Saltatio Mortis,09Z51O0q4AwHl7FjUUlFKw,2018-07-19,day
2wJj7JwUMyppNOpyjfnFUR,Trollfest,2GkRxQ8FEGrWxU8BjZKfmh,2018-12-14,day
6FvcKeoYNCIW1D5AEyHWjV,Brothers of Metal,0WPCPYm5IDNtQjuJOGNPcy,2018-10-12,day
30HudkdtT6bvHdagrxFJ7e,Alestorm,3OpqU68JpZlzvjAJj3B2Da,2017-05-26,day
0psBuoxe8gA0dadvldZ1HV,Sabaton,3o2dn2O0FCVsWDFSh8qxgG,2014-05-12,day
5KqHgQ0h81PdA6GRq5r6xB,Vanir,6DCYYeX3Iqic6GnQTXM3n4,2019-01-18,day
2a99qSkB9UVxepQJ2KTfAJ,Corvus Corax,0Qeg2Ytz5AcfvkIO3RYV3z,2018-07-06,day
5XJ1jQYn3l4KCNx3IoIC3r,Ensiferum,0krXCIkthz13P8o0v2tksH,2017-09-15,day
3eg1DWDuR5J4IgZuNtaU9h,Trollfest,2GkRxQ8FEGrWxU8BjZKfmh,2018-11-16,day
6dtGNp1M5FFLhjejpGawV4,Eluveitie,5X0N2k3qMnI8kSrGJT3kfT,2017-08-18,day
3KkPHbFi3Rf7BRcRpjLskE,Bloodbound,6nf7iwR6AoROxfUKZWd1r6,2017-02-24,day
38C026xnfYW1J7hqdbef0c,Dragony,4ZGFYwFpBWxq6FxqilvRJT,2018-10-12,day
4qgDlkfqsbZ0q5tOSp0nqE,Týr,6TmGNPW2oDM5uaXBILozGa,2013-09-17,day
533BIBwLQowopZQzbCuIu8,Leah,5JrVokmullzV1zq8M8iP69,2018-09-28,day
1VVSeif54ALo2SaZ35U5I3,Alestorm,3OpqU68JpZlzvjAJj3B2Da,2017-05-26,day
3WrCrpNOnlVWRHtRKJONWC,SKÁLD,3uliAYf4KyTkBpVf3BiWVv,2018-10-12,day
31fkMc2mGqwgvoFY7ELhPh,Eluveitie,5X0N2k3qMnI8kSrGJT3kfT,2017-08-18,day
1JCCYK2HYA04KTBKXYHH7X,Unleash The Archers,6irKXFXk2sPNmHtKqmrfuU,2017-06-02,day
0TwejEm9BvorNaFFSsAobO,SuidAkrA,77H7WLYHNHy0klUy1fGXIi,2018-10-04,day
6wKGmTQkWfXPaVAv85cXJ9,Ash of Ashes,4DubFSHii8kIiPi7LLLt8I,2018-10-10,day
43q96dY1coOtTywVVeOdAc,Ensiferum,0krXCIkthz13P8o0v2tksH,2017-09-15,day
6HxX7yMS9HnIyq8Q9Uyb6v,Cyhra,6tkhw6PSVw7b2M7h5fLBLE,2018-09-14,day
716MGFv7rw3K8OYqGgF38t,Leah,5JrVokmullzV1zq8M8iP69,2018-09-14,day
7paTi502Yhzr4SRskGi2sA,"Mono Inc.,Eric Fish","1189BemPY7h2lgaH1pkzGX,0iVQl5b9aqP8LMvDrfSRRy",2018-07-27,day
3BsT7xB5kUsCDrmkBvkYVF,Dragony,4ZGFYwFpBWxq6FxqilvRJT,2018-09-14,day
06HNCfXJcMnKHmRrkue97s,Blind Guardian,7jxJ25p0pPjk0MStloN6o6,2015-01-30,day
63CQ0Q5N0p9CmURVoDuEoS,Gåte,3YxkGgMvqCQA75aFpy6524,2018-09-07,day
5UlcIOHfJnuG6566c6MGQP,Elvenking,09b5OcuIELTdD7FfzQzcdB,2017-11-10,day
0VCxgF4F8kI5fWNIYoRJPu,Skálmöld,61OnUq2Pb2GDDGlrHb7I6U,2018-09-14,day
6z35Tv7O0zcdnwtPfNHW2z,Hulkoff,2ztj3MdrAuEMrU1P4HrZwH,2018-09-21,day
3o86HNaujiaZFlTuwWuVw8,Grave Digger,6mfghV4I1CD17FOhDKq7cJ,2018-08-17,day
0E8ij09wnUrRa8hs0DpIle,Korpiklaani,521Yl3LUvD7G9dMRO4fpCy,2018-06-08,day
2Y3XyBCue0lRn1GtPpRcA1,Powerwolf,5HFkc3t0HYETL4JeEbDB1v,2018-05-25,day
4haUMRXbvaQpXlh8HT6LHM,Tandra,6S5UdK5Y5ZscKiVrJ4Tq09,2018-09-12,day
1SKG2VH7kKoj0Urd0sNCvC,Alkonost,6uqnggb1uJbtZI4u3aLyBe,2018-08-29,day
7boMf260MltKw4RoohuQtE,Saltatio Mortis,09Z51O0q4AwHl7FjUUlFKw,2018-06-14,day
6PymuwN5o39jyuxWDlpki9,Powerwolf,5HFkc3t0HYETL4JeEbDB1v,2018-06-22,day
2RVD5o84LnJGjaMGhKk8bZ,Einherjer,0iGkBvuI18nxqJR8Ipg1cu,2018-08-09,day
1gAR7JWYFfgk9VhKw4cbyQ,Korpiklaani,521Yl3LUvD7G9dMRO4fpCy,2018-08-24,day
3n4lv7kwT4aYffy9PDY20W,Korpiklaani,521Yl3LUvD7G9dMRO4fpCy,2018-08-03,day
0ZvrveJxa9KtqMGcBZCnwt,Proxillian,7vsbaI1UH6LIYjjgjEJgQv,2018-07-27,day
6ps5VDoH9GyZHD2DU5nISK,Korpiklaani,521Yl3LUvD7G9dMRO4fpCy,2018-07-06,day
7Myp2yeW6975AawRTWtiuH,"Corvus Corax,Arndis Halla","0Qeg2Ytz5AcfvkIO3RYV3z,1kbHZGHbzWSHRLoWYsxCuv",2018-05-25,day
0e4jiZ6p6VzM4xjgGWXhJm,Fenrir,7nBTDqYMHvjaQ8LIJrfpiZ,2013-05-10,day
4hM7nwOM8FUqQhvoO5fYrx,Viking Priests,2EOdgmQwH2evFDaQ18sHfg,2018-07-20,day
78Za2zGwZakj7uWUPvOH0A,Skálmöld,61OnUq2Pb2GDDGlrHb7I6U,2016-09-02,day
4WFOFIr7WcOJcy79dZFuvI,Týr,6TmGNPW2oDM5uaXBILozGa,2009-05-29,day
