ID,artist_names,artist_ids,release_date,release_date_precision
3ajIOCToqKcp9HPf3tnrjA,Sam Cash & The Romantic Dogs,3yFvQfpNC1xy8kfKrjnkQJ,2016-03-25,day
5QSj1Yo7dwIZO6AVCm7hc5,The Cheap Flights,6HvpvvG66gvAaPn3CvWiLX,2015-12-22,day
7k2ACfdB5VjIqW2Lm8ue7y,D.O. Gibson,4bRWWTMAx1EHa8QRhdHMcd,2015-05-26,day
17y8tL4GN4FSQnYcvQvMds,Kokophonix,7FYJ1dRspKdXbeXynAjayD,2016-10-17,day
30eknK6kYxfB0yz1VMACCG,Twist,6VON8c6IJbbobQCxXOOOXL,2017-09-22,day
6IJD8CuM501Wf10BiQ56tn,Twist,6VON8c6IJbbobQCxXOOOXL,2017-09-15,day
6xQLd2qtRBIEzlN0ZJ6u3v,Taylor Knox,1JXMTLUMwPvnYnQhcQRLEt,2017-06-09,day
1bveq5OW0Hhn7VHYakZ8Mn,"illvibe,Dean Risko","47EM5ZrgJiSWPS2cDRbyIS,3jbztrMCCQdfbZS4qcEgK6",2017-06-09,day
6tLcA8bWuetKRx8Xzoised,The Nursery,33UyJy7XcZm0saPQgSlinl,2017-07-07,day
1QC3Hy30xDloQAF8yVkPYR,Ralph,1Ss8sy3C3XXQgxYRwjDln8,2017-03-03,day
0pNvCCr2EQC829iBVQuqV9,DCF,67qkjKbUYQqfq9T2Gqg3JK,2015-03-23,day
3A2K7LvsHwxktVwpy7gmaB,Zeus,6OOX62x4mMRT9d4leHQmV6,2010-02-23,day
6m9OKLay0c6t1vJwuKaR7Q,Harrison,0IbD9X6mgxyaIKT3aqzioT,2016-09-09,day
6T12aZ6sVYZvioapM6JaES,Rolemodel,1Z4Kbz76NsKgNqfCaDwbT0,2015-05-12,day
5yMSCO7Dm0sdjasLHuMbJ2,Jane's Party,16SY7vICMlc8XGaTPocEa3,2016-05-13,day
2LSuOoecqNjKQjmlShkHHY,Highs,5l0cYn0wvkjNWgyK58idcn,2014-10-21,day
3KAwzUf7TIQLpahrgeZzzw,Dan Griffin,5Aw7Z8T4JFstMhHdZsbyjo,2013-08-27,day
4tVluq4o7m6XdXjm2BvtzK,AA Wallace,7BnYaFnWiALKeYR9o0Dtfj,2015-11-06,day
66HEYAz1pu9zmRjrJrJcoZ,Boat Culture,12PiO82H7H7XiDFBxahsgW,2017-03-24,day
2N6KGqmscc0FqnQZrWHuoQ,Hunting Owls,321swUj9aARDAAFRa439j4,2017-04-01,day
1iYdrPEPplprs0Yn6q7zmM,Ivory Hours,5PUjuECa4PgAJ4wpKSLpfA,2017-06-10,day
6PsLcbEVBIQgSeFNguRHq3,Gentle Brent,3sPrIvuEqw4g1jKOx3Eh47,2017-03-03,day
66Mg5mWRSXyyzEjboN5rvY,Gentle Brent,3sPrIvuEqw4g1jKOx3Eh47,2017-03-03,day
7zhr0MnGmPHhCRqjIJJyjO,Modern Day Voyageurs,6K5SiWCDHSPgl7hTCWxiNB,2014-01-09,day
3YdYQo4GPm6qLXh6d75phJ,"Tona,Dj Dames Nellas","6q8LiFdCehhaItyNf5yHSN,64ZtWrXLmP4ijLCLNi8FuG",2017-12-20,day
1w4zsr8vQDFkVDOX22hEOF,Zanski,6IVta6osiP9HifjCLIw4cv,2016-10-21,day
2IK0OTWLKJfplVWckxljeZ,B-Flix,3e01Rhm1sXJW8odMZTnkHH,2014-08-01,day
41jYcErBp7caqUigXMgj4O,BRANT,5AA9zA65g5X5KzMmv88VGS,2016-10-18,day
1JT87Y9YUAXGAxnM31yePA,Fast Romantics,2A0s0vRWHl5XyWpdzM36RT,2017-04-28,day
4M1LH6FlFoEegbNntgceoM,"Hykuu,Hartry","0iGZgyVA3K8mNMyImyxJKG,2utexepkhhCp8XtoDBiOSN",2016-02-23,day
1Pv1SRqZEF1LUTAXfzIWIz,Fast Romantics,2A0s0vRWHl5XyWpdzM36RT,2017-04-28,day
7gaaSLM3nfOFRk2V231dX4,Noah Mroueh,227sBvXlhQUo3kKvsexOVL,2016-10-07,day
16BPkbskXHTDUu5ToVMNHb,Harrison,0IbD9X6mgxyaIKT3aqzioT,2016-09-09,day
4J2rDhvQVkahJcYoWIwAzK,"Luxe,Hartry,Txtmeback","69WdKyIuSgPMHH36Qd3bKI,2utexepkhhCp8XtoDBiOSN,10MUIUDV3ILN66zqkCGYnG",2015-10-31,day
0aM8ZAdYi0EvLindiaWXr3,Taylor Knox,1JXMTLUMwPvnYnQhcQRLEt,2017-06-09,day
1quYllcb7ziJlT2DwK9pVe,Wordburglar,3r9EPV4dnjsEMuKCjk5IHE,2015-08-28,day
6lHDBzXvuPoSZTisd0JEpA,Robyn Dell'Unto,2Z4rLJvaIhOHKClSgZyalS,2017-01-27,day
6EoLPgdfnu70GAzjbj8rl4,"Maylee Todd,Tall Black Guy Productions,Kon","1fJYXB9ZFQbNduuZX4jyFl,5PAAzd1vi36LRWdbTT8Xnv,4JbrK7cFQmSZ7tKBUbV3zi",2012-07-23,day
6UjCKMPJQIzZKv4FrO8Zna,Ralph,1Ss8sy3C3XXQgxYRwjDln8,2017-02-15,day
0X3WYzlh71HeHPzmkE8yeZ,Tanika Charles,0BYgmolIl2cU1K2XZa7N7I,2016-05-10,day
27sfUCdzLqW4GxmQcW9Yv8,"Muneshine,The Darcys","3zRK8g4ugEDvWNm4kp7DyJ,1kmnMzV27S3bXALqYnoGwH",2017-05-29,day
4Iaw6PWzPXi4cf8qyA283j,Sylo Nozra,0QitJHI0ZwMa5F9TR6EYSl,2017-10-30,day
3lM6UY6eZoxxdrxCLxWXrJ,"Sylo Nozra,YUMI","0QitJHI0ZwMa5F9TR6EYSl,3xZnNKEKJLFSv7kP7NdWj5",2017-10-30,day
18699zy7AyDDDWXWoa7aeN,"illvibe,Myer Clarity","47EM5ZrgJiSWPS2cDRbyIS,77Per5WGhEGOFgJoooR68E",2017-06-09,day
37ys0kXsvM4MK9G4J4ecMe,Evan Redsky,1qZng7TJN7pOHMSUItFB8s,2017-12-08,day
5R7qlPnCh9qVEtNaHIyPvh,Birthe Kjær,0IfpyCP48pZ9kkFVSeHbC5,1996-01-01,day
6H3oSurSThnE1AKagCAPxY,På Slaget 12,1gi7PKJyFUmv68f1ivYJ5s,1996-01-01,day
6K2tR50ne7WOVb9uMuLsH4,Bamses Venner,39jkKwgPU7ySrp4Pttvzl9,2009-01-01,day
7jRnXwhWEoXS2AIzJh5uKa,Flemming Bamse Jørgensen,2hwroN1fQUybhUxBxEVu6W,1981,year
4iArHiBejqLpJBKzok0EC3,Lars Lilholt Band,1LMt3kmbcvohxSqbRiSeFk,1996,year
0pUdc5sIYd1TX6P0XPVjjl,Lars Lilholt,1Yx03OLGLoPLsopcdN0NBW,1993-01-01,day
20LRRF2F5yWxADmN3dLlkP,Peter Belli,7eUco5O32O0ilpwha19Qz7,1999,year
7tnWTx0bXHI3tW5gnrbGDE,Tøsedrengene,77tySlfNCOSAhpjqD8Q8IL,1984-01-01,day
6c1kzTI5n0qskewueIsvtJ,John Mogensen,3zH5giTwRVntj4cnZWkF6A,1973-01-01,day
5WDYcXzhXMhCMLne8Ofs5A,Diskofil,75pTx0DPiNX6osxAscnhDn,2012-01-01,day
4JVzugKZLHSNeyHJaeeVn5,Poul Krebs,227XsEXGsqypprsCKbrG6u,1995-03-23,day
15jblJB58wgftMHuaa8kuM,Shu-Bi-Dua,6Y99TxJKt19wJFbmpoRzLp,2010-01-01,day
1rRcFwE1ydO2Y5jSmk1UIs,Ray Dee Ohh,7nTJiFjyiKrXA9ZfWmyl5o,1990,year
6T0D7f3TetrokOfOkbNk2b,Jacob Haugaard,0i6usqMobtDshYpnUOqhpu,1996,year
44OfLc9xebeUK8qvxkezXA,Johnny Madsen,6vxJe361JSKmxXcI8uJpyM,1988,year
02ymWg1NUOrvrESz6Dvtrx,Rugsted & Kreutzfeldt,1XlntNNv1pepon0NhiJxeS,1979-01-01,day
2xB2iRyV17r7D4FGZLlieO,Gnags,460C51GopZ9kmWvz3Z0649,1989,year
3PcadWsM5E48Tm1jhF5o54,Tørfisk,5qZ0732i4wdS86JSxYt9Te,2001-01-01,day
1YQmqTnGOCE8po7Kici22H,De Nattergale,4m8RWSTxfjqHFo2NlLnjix,1995-01-01,day
33frkbGSt6bbfj2Nqo9i1p,Brødrene Olsen,4pM3DAhLOqMQT5z4pl0Sri,2000,year
0HJTHmEqrKSh3i3V6WWln8,Four Jacks,7mC47rk5KfFpRANnIoVZq7,2005-05-23,day
5v189C6HIeDLJHd0RS6Hhj,Fede Finn & Funny Boyz,7C3pZ5Xui1qtgrCOFoR9gd,2008,year
6eUoypYbaQq53S5ljtIo2d,Otto Brandenburg,54AYfjvNjvNRpRUos9PEf7,1996,year
2VLhP49WhBMXS4JvlA5ydU,Johnny Reimar,02SeGuSHai1b6rZuCUuJvI,1998-01-01,day
3wqYQbDzFYKytO7uVLQtHD,Anne Linnet,6AWEo7TFXeaDNDMMFuE2YY,1988,year
7tsPUms7n1f7k4VWrBXIki,"Gustav Winckler,Birthe Wilke","1KkmQlkpPx0Tu6qbTh2jyZ,78QG5EiEeled0nHE9JDxYp",1979,year
6KOGNOBNDt8BUhhtXSBa9H,Ib Grønbech,1grMAykQREOpWt2mPU12UU,1993,year
3MIcUjv1mviKYD475EvBSS,Gitte Hænning,61colh5ssNlVYwuzlQyB1u,2006-05-01,day
7Fmd13iRhFDyk6DTlfJDHU,Sanne Salomonsen,2tNnhfyBpjjEQEZywjlsCb,2011-11-14,day
3Pjt5EH19qUerS1xfw6aNC,Sko/Torp,15aOr46F3YwJuuIut4pmBp,1998-08-23,day
3rbMX39Qj6sfvveVXcjTRI,"Dirch Passer,Ove Sprogøe,Paul Hagen","6KSxLUH5iJJwGzmtamOw2x,7L3iZMCtoV7bVTy96b3uTe,13dktL14q56exwpuv6tENI",2009-01-01,day
73EXBVrVPlxZ2tXNyTApP6,Snapshot,1SrmGTb6i2OfOmNkbX3Ft4,1998,year
5Y3Wt9whwexE2EfP77S0QN,Malurt,2iN0OTtSUusghUcitEgDas,1995,year
1VaKAul2PvFy383BHIhUAn,Laban,5A490wDfownZLDcpIDOJiL,1982,year
7IltdSvva0o4LC4ExTd6cC,Lars H.U.G.,4OzJnEy8ZSFGgTfJRlszdL,1987-03-01,day
62L32Uo5mBE4hWiC92ZVwH,Sweethearts,0KaWIHPz0TbjynvbrocxwT,1999,year
5kWwcpTo7MdPQrLNF3TUxS,Tamra Rosanes,0r7VCiHRqfNFMbo6V3Jafx,2003,year
5Lk2Dj7seztAWQIvusu8Uu,Henning Stærk,0OmrAV3lcs88FhbEREgrYR,1995-10-05,day
0MInxVQLJQB6pnLNchNAEj,Cæsar,3NFCyAHrNLVlNi4zW5LmLj,2008-10-04,day
4C9LBRW2vnAgnTrtdjkavs,Nanna,3ezTWbtfwxOJLmlXKFSXRk,1982,year
7fLZT93tHu5aa9aJAg2J5N,de gyldne løver,4fvoJoY1YqJcRBLMdDFiFm,2011-05-06,day
4J34biTbdEbxgNZNYHTsa6,"Troels Trier,Rebecca Bruel","6dcdbsHMpJYOwaX1J8u8Ap,73sUXJAolWPWfTuvD1Q0I8",2001,year
14ZFGxHCSweXYynsgL1Ygp,Ørkenens Sønner,6G2QwSOr4uZftJwKzMmwff,2007-01-01,day
2aJSaIEowroNh5jq4aADHT,Gasolin',0e7UgnX6ObqqX5EcMeuA0E,1976,year
3VfGvYC2MGJ6U5AIGFuduO,"Jodle Birge,Ib Grønbech","3pcPbJ5oVGttgz0bZdg6Oc,1grMAykQREOpWt2mPU12UU",1995,year
0i509csbHrpeHTrJievTDd,Lene Siel,0fqVqOBSllpvL8idx0d5eK,2005-01-01,day
66bGVUpZT0BZcCGdYFdxRI,Niels Hausgaard,4AsdZmU2lWN40Q6yCxcR0u,1991,year
0YbFY3cpxDOAQl7sD5wA1T,Richard Ragnvald,0hRyYPSF066dGIhL6Ew0AH,1998,year
1f8kBwGGUsXFuoiByLofQW,Lille Palle,2NuqPG53NHKuDymeiGlnl7,1986,year
6FvjdP2D8M9KjVK6Xa90Dp,Klaus & Servants,3PbcMklPymGRRUMCxZRHRa,2003-01-01,day
1FxhOZihuDuWkDq8MCu2z8,Venter På Far,0Ks1v2AMGUYo82v7ZxIIpA,1994-05-30,day
598JrQyHZ5oviov9RFjsM8,Danseorkestret,1mbYtO5wyUaGVCFQFPPwme,1985,year
6k8HV9O0cPfmTNbZsZwI7H,Kandis,36EOFeq5ZtWgYULc9SbEbL,2005-01-01,day
2HnOAB3nFz6wH0eDOYldmX,Erik Grip,3ljyaOWJ3Z0uajvpzkDWXc,2010-02-16,day
4Tc16JCIEG8orn9UvaO51u,Bjarne Liller,06HocPjH68SPqXBSehLrPr,1993,year
0bKWR71e2TVPpbsNX12WbK,Johnny Hansen,6cQfsOtvjrmbQ1pglq4mVu,2019-03-01,day
34rDYeiCU8vR6XmMkogK1K,Bjørn & Okay,1alOpePyfBFLWjCjh2ha0n,2000,year
0R3o5mNWphxtNimq5b0yO6,Dorthe Kollo,4ZdK7Pvq1y4lVGY5Lhm7I8,1992,year
03txu7m1tUKMCDXmD3UTCB,Det Brune Punktum,0FNlwdCICKgCIMQdA9n2Oe,1999-09-01,day
7hatNMrDdTFpEa9zQp4kAm,Kirsten Og Søren,5NHV1HrkQ3S1vHguF0gx8B,1985,year
7kI5w3FJkNMWaftUHGOkdE,Ann-Mette Elten,6XEzdbIs7FYWK4SOoCf5IB,1999,year
1oIVUqdVUFouSa6xsSN5aM,"Grethe Ingmann,Jørgen Ingmann","74NZRc4VtnABmp3rP9e1Gs,1mUxA8Bcd9qdMgH9uMOIQb",1992,year
7KkpZhJodO4C6qEUhLQ2Hn,Bjørn Tidmand,0hKxfTu00iWFzff3LLCRi4,1986,year
3FNpeJw0igrb2quk7NReYu,Rock Nalle,4IJsHU38kPb7hyC3i1TY2r,1977,year
3xtnGgDnxRv6MmyTLQG555,"Anne Grete,Peter Thorup","0R6cjmVVMNLLaXNMxMfc7u,1HbkacYr73fyL7AWzW6olM",1984,year
2SR3klgcPVXJ8QWvd25zFH,Eva Madsen,6GvFyaw3Oal7Bji5ljHSvS,1983,year
156CczyVZywobUJarpJBLt,Julie,5PTC90Djm2KBfRkxiZfCgh,2003-05-16,day
0oYagBx0z6yahDyMY3xZNY,Torben Lendager,5CXxrMMnDPtWW3OCC7GUFZ,1980,year
7APrqpJyEIkUMEtKerIz88,C.V. Jørgensen,77fc8T3xc15DmT593kRnh4,1980,year
5Na9Ft6q0GZkgqSbuuep5Y,Susanne Lana,4xFqBPTZ4RrFkVUQ1fWqpO,1979,year
4RrHmje7k5I0gtKQHXL6CY,"Povl Dissing,Benny Andersen","0qpWZe4Tl9yLoMSKdIREIT,6gUa49C4wIZa8qtQQQBwOS",1981-10-01,day
39mVvX2dz5QoXK2iMBYsw3,Peter Vesth,4v4K2NfoxpdfRsZ9UGZkUj,2000-01-01,day
42iLUdhc8LwQ7zZ3dA8jbp,Grethe Sønck,0YXQfKGLEAxwGr8rhruXTl,2004-11-12,day
7LlyckUmg5IQEyJN2DcbYb,Dræsinebanden,4fTh9EInN2pJzHGTVy62w6,2011-04-15,day
