ID,artist_names,artist_ids,release_date,release_date_precision
6e4qMgBnQ6embK1HXdm3Qd,Burna Bandz,6wyGyjn9ixZDXBwcapqapJ,2019-01-25,day
5yx3rDDuzOfn1dl0HyfUai,Rob $tone,2hWs22BmQkK4czFtDLnar2,2019-04-05,day
45YCur2lyV5Nnr4HGaYZ5o,"Ching,$tupid Young","2OJWvrQSWQXqFNIx6jiM0Q,0h0C8mMT21p0Ixq6qO1UMH",2019-03-23,day
0aHBDMktXsTYKVqbZPEkeG,"Pressa,Burna Bandz","5olrQpDroHT7sjmYWMLivy,6wyGyjn9ixZDXBwcapqapJ",2019-04-16,day
6PfI6EeLNiNGVAVg11nv7D,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,2019-02-22,day
6Hj9jySrnFppAI0sEMCZpJ,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,2019-03-08,day
5TrKoc6rZBget241Z53xxe,"Lud Foe,Lil Uzi Vert","0Cu32uCaqDJYQADOev92Et,4O15NlyKLIASxsJ0PrXPfz",2019-04-26,day
0bLcyYNAPLh6oQTGnRxvSC,LocoCity,3F8zBQBtVl3lb2bEQHBFou,2019-01-28,day
4mIXmsA9lwT7sk8rkrnEFE,"88GLAM,NAV","2I9SLklAOG0vdMiUUMNxRl,7rkW85dBwwrJtlHRDkJDAC",2019-04-12,day
2wVFLk9vWAlkBYmlBzSDOA,2Kz,34NZtBmujV74j9fglzWlxW,2019-03-29,day
46qLW9eNMxoJ2ccp1v7ZDV,"Slim Dinero,Roney","5M6PQwimbEZ46FXjsIcZxd,2nGZqSJU7K5mkZCjxSlu5J",2019-02-10,day
30mYjiify5aWCyeilWmOUt,"KTOE,Jazz Cartier","597u4DRndwoUDP5uJNOJ0L,0sc5zYshOdiFD4ayqMrJbJ",2019-03-01,day
6hE8b5oEt60WL87I98Y6e0,"Jay Gwuapo,Calboy","5qrzeukNCU5ixZH3LhQi2j,0HkcYmcjrBR3SCw9Ld5VZk",2019-04-26,day
0iWzGeio26q2XdxkpxPLeX,"Friyie,Roddy Ricch","3eXSznGfQxOSL8TGWUiV08,757aE44tKEUQEqRuT6GnEB",2019-03-22,day
6fHutFlPrMFKj1KEuuE2MS,"KHEM,Tory Lanez","5oR5JjCXsdwdho4arNfO4C,2jku7tDXc6XoB6MO2hFuqg",2019-03-22,day
2aWdGpj6TQ3BaUYij8zAhr,"Wiz Khalifa,Ty Dolla $ign","137W8MRPWKqSmrBGDBFSop,7c0XG5cIJTrrAgEC3ULPiq",2019-04-20,day
6p05dJIq9w65SUY2tZ1IMY,Frvrfriday,2jwmP4TgzTGqjCfcXMDayW,2018-10-12,day
2gwkD6igEhQbDQegRCcdoB,DaBaby,4r63FhuTkUYltbVAg5TQnk,2019-03-01,day
3WPjWxRFtlIp2TlHn7kBpQ,Pressa,5olrQpDroHT7sjmYWMLivy,2019-04-16,day
1r3y29oKfnOzkhVm2og4RA,"Party Favor,A$AP Ferg,Juicy J","7yPPzu5UdAK7yagQqjEZQm,5dHt1vcEm9qb8fCyLcB3HL,5gCRApTajqwbnHHPbr2Fpi",2019-04-24,day
6UfcCoOfVmDUpw34ovfXtC,Tee Grizzley,6AUl0ykLLpvTktob97x9hO,2019-04-18,day
0dQO6DOVHvrfl7DQwO97RE,Flipp Dinero,2HUwZ0kumzCSlhFcjFZfpp,2019-04-19,day
62vpWI1CHwFy7tMIcSStl8,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,2014-12-09,day
2eMwDehkIC1j68U6FA3Eiq,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,2017-03-24,day
