ID,artist_names,artist_ids,release_date,release_date_precision
68AFwp0MnkWketMmnfvzR8,"Greeicy,Anitta","5dbaLmK5SHLLg8Z4CcTJpX,7FNnA9vBm6EKceENgCGRMb",2018-10-26,day
1mC2UjWt25Oixtqu7C6suL,"David Guetta,Anne-Marie,EDX","1Cs0zKBU1kc0i8ypK3B9ai,1zNqDE7qDGCsyzJwohVaoX,7GMot9WvBYqhhJz92vhBp6",2019-05-08,day
7jr3iPu4O4bTCVwLMbdU2i,"Dua Lipa,BLACKPINK","6M2wZ9GZgrQXHCFfjv46we,41MozSoPIsD1dJM0CLPjZF",2018-10-19,day
767CU16p9KlACHHwuTS4AW,Alice Merton,7f0OLhGgBMX9fUjm1dcPip,2018-04-13,day
5N5k9nd479b1xpDZ4usjrg,"Calvin Harris,Sam Smith,Jessie Reyez","7CajNmpbOovFoOoasH2HaY,2wY79sveU1sp5g7SokKOiI,3KedxarmBCyFBevnqQHy3P",2018-08-17,day
4sh506lJZac1T4o4NqtIuS,"Lost Frequencies,The NGHBRS","7f5Zgnp2spUuuzKplmRkt7,2YYAp30sXeDAKiTLMfKGTT",2018-09-14,day
4xc6RrWzEOdprPqYn9Cyen,"Dennis DJ,MC G15","6xlRSRMLgZbsSNd0BMobwy,3Nipsl6GVwwGyeAk0J29C6",2018-05-04,day
25r7hB3lqUhLy8hUP916El,"MC Kekel,Jowell & Randy","2ZXnTEyYopSLCDiz5Z0XIf,4IMAo2UQchVFyPH24PAjUs",2018-07-27,day
3gIJtSoFovsYGlVVPpWjRp,"Tropkillaz,Major Lazer,MC Kevinho,Busy Signal","5bzWtCkjIAMgN93gLt56SO,738wLrAtLtCtFOLvQBXOXp,1mXAhKnZEdF6rotyyd4GBi,4RfTXjK9aiiIKDaKUHpL57",2018-05-11,day
3AOs1M6lDINjxMljAjKVkP,"Dennis DJ,Gaab","6xlRSRMLgZbsSNd0BMobwy,2iK1rsbYstkSVn57M4s8ut",2018-06-22,day
7rLegaz7zKB6EtDNzcslKE,"MC Kevin o Chris,Dennis DJ","2UMj7NCbuqy1yUZmiSYGjJ,6xlRSRMLgZbsSNd0BMobwy",2018-08-27,day
7dt6x5M1jzdTEt8oCbisTK,Post Malone,246dkjvS1zLTtiykXe5h60,2018-04-27,day
4R5xvs5X0phd0EYWyGigju,Anitta,7FNnA9vBm6EKceENgCGRMb,2018-07-19,day
1Z8ozlFigFSLXQaZLiZezW,Malifoo,6Mt8or6ZkKPJSSECpY7Pu5,2018-09-14,day
0SXnY5CONM4TGL2zMEFUId,Dubdogz,4cdyqaBREB68H77QKCrKP1,2018-07-26,day
78Q2gghkt8iLJ7J0Uc4QYb,"Ludmilla,Mc Doguinha,MC Pupio","3CDoRporvSjdzTrm99a3gi,6GX3y0u61X0EHZZogsQFbL,0n9VWli2NkR8OqJS4dXTqw",2018-06-06,day
0MWgU2JWqJT9zb2F5PPrAC,Mc Elvis,1CFhifYnc1SnQc4ilM6aWe,2018-06-25,day
3TLMqQ1nljlC9kZ5AnqNGo,"Paris & Simo,DLMT,Pony","1MZSqWo83IkVnYB1DSE9XB,5rG00A9pRANrMDzVI3DrmF,5YVzHQeLnRkEYK5T5XFQ0q",2018-07-27,day
5d3NlNeGMJRu8EIT0X559G,"Sunnery James & Ryan Marciano,Bruno Martini,Mayra","7kABWMhjA5GIl9PBEasBPt,5veVxxPm1vzgi6pO2iVA8L,3XSWVsSggcTo6Bv8pcDqnt",2018-04-13,day
3Lr3IZJ4eLKagTFObPmqcU,"MC Lukkas,1Kilo","1hfkB6NMeEj6pTSEpuiHra,6E2st8OqIaS7PU5gj95FSE",2018-07-03,day
4YeFpbGPLgHpapCHGLKJyd,"ARLE,L'Tric","15s4hiy6X6wK8V6QuP6P31,4ZedOHbnyLaFvvMuY6uaOM",2018-07-26,day
4bhhr0aeUUlODcXN3Gc7ms,MC Pack,0m4p9bFcCB7xFbOBnSZqDJ,2018-07-06,day
2mA3hpvyb85MOEa9TC803U,"Kiiara,filous","4u5smJBskI6Adzv08PuiUP,2IjiuEObrCKyZvSb8xLxG9",2018-07-27,day
1JI0Qo8g8VlZlh66MtTaFO,"Dennis DJ,Marvin","6xlRSRMLgZbsSNd0BMobwy,1XviPhyABe3thDIyPW4XS1",2016-06-24,day
3tLJmMdYSIlx5sSCFy7Wdg,Ivete Sangalo,7dzq55YG3wjViqexDwiycQ,2005-01-01,day
4r0Y5jgQ0hRZK4h3TmoqIC,Gabriel O Pensador,5BWqFYIPTnFx3OPWOoJvmD,1997-08-08,day
1AqfIfEQyEaME7fiv3HzyU,Gabriel O Pensador,5BWqFYIPTnFx3OPWOoJvmD,1997-08-08,day
1Cml3fnCNLZUC1EEtkcgVb,Anitta,7FNnA9vBm6EKceENgCGRMb,2015-10-13,day
1OtZIaJBXo3Pe6nfaMsjKT,Delano,5TmW0cFVEYEbypgTdSNNDn,2015-03-31,day
3kWSE7VF640gmcuCTegcWV,"Neblina,Dennis DJ","5k03Uokr2zWNt3IFdKHnyf,6xlRSRMLgZbsSNd0BMobwy",2014-09-17,day
6oSMm35tlmLqMFKLfkcokV,Ivete Sangalo,7dzq55YG3wjViqexDwiycQ,2001-01-01,day
1cQVWGuiMuiBYcr5dOWlwC,Banda Eva,1wqkMc837HWUwdC8sOZ7lZ,1995-01-01,day
1fJH4YIK4fGC3mlCXqAbnb,Negra Li,1E4r5qziZja6v8jA7iTqjn,2006-01-01,day
0213j8WfGn63ClAQfQlhN3,"Carlinhos Brown,DJ Dero","5jvQoouPSDvUEwynz5KPpv,5qeaKQ7gFhK3wGupHw90fT",2006-01-01,day
7iI7L2seSIrpnaqF75RMRV,Jota Quest,5re6NsyXzHg6uvNimzQ3F6,2011-05-03,day
1sp4VbjkdWl8JmPnrd0jH9,Sérgio Mendes,65c5si0ePAwkOCn4M35Ho7,1992,year
6LqoVmCRn1ye1rUX5Jsy6N,Carlinhos Brown,5jvQoouPSDvUEwynz5KPpv,2010-10-19,day
