ID,artist_names,artist_ids,release_date,release_date_precision
2JXuqAuxLZrhGIEaWf3amw,"PANG!,Sergio Sylvestre","6TlN75Ns66CyxBuZ7i3TK3,4Qd0fF3Bmarm9njMZetTrw",2017-10-13,day
3Gvp4TtNgCRZLokfvWQx3F,"Agatino Romero,Jette","124jbwgd8Hh6LW7jAqTa8r,5lZg000yb5Xp9uUHAlE1E4",2017-04-21,day
0JrFZpyvYnbfGhwf5WXJ4v,"Nexeri,Yvette Adams,Natio","2ekaInISzbZNipWYe5y7IU,0wJleVZMfvn9pSSAjncgB2,1kPCI44Jh0btRRRHjouPSc",2018-08-10,day
6JrAEmBFd61eYIGVOSPnT4,"Parra for Cuva,Anna Naklab","238y1dKPtMeFEpX3Y6H1Vr,6vNe5MINTo5QZyR08sBOBA",2013-09-19,day
5vA6wWjzDxFFIWsYh04jCu,Nico de Andrea,3h1aCZ3gZ4zIWxnsxcBrPD,2018-04-13,day
5EObbWJGbZxmJd3oLQuTtl,Yann Muller,41HOzTOe9JNerhym1HWxti,2019-02-18,day
7FKcbKrAi4uiXosKMNTjQI,"Miley Cyrus,Tiësto","5YGY8feqx7naU7z4HrwZM6,2o5jDhtHVPhrJdv3cEQ99Z",2017-06-23,day
1tXaxUiefzevWIoz8U2gHL,"Dubdogz,Michael Prado","4cdyqaBREB68H77QKCrKP1,1MwIRwOW3uLt8PGM9vmsxA",2018-01-17,day
6AAw43DJbIysnD0DwVurGd,"SNBRN,Nate Dogg","2zJ8chFLjiBHRNchfevMRI,1Oa0bMld0A3u5OTYfMzp5h",2016-01-22,day
50ykywmxoRjWaDPMeXiJ2E,"Sonnengruss,Jana","1ZhvuoFAmQ93bqmF4UKNTR,5NokA7wSH0CDMOm85Nv5Wo",2016-06-17,day
2xQhr2h8HD2AjFLYZN5C9W,farfetch'd,5xQaB2JfKU3pi6IqRsHy4G,2019-03-21,day
6LPB979FzxArOcmoZHJBpe,"Chachi,Paige","0mpFXzm8CkqkhvN4PLCYkV,4Z99ysbztLlZqmYK3urV7w",2015-12-11,day
5RjvAk5BHecqAE2l44Btmy,Joy Corporation,22DpF66KIdKHmy1IvzEZXc,2017-11-17,day
1oSNKVDUf0hbSyHvoynxZq,"Charlie Y Vano,Jackie Vegas,Moonsound","6HAyum24LSKWHLOK77kSVY,39hRsqeXRE6rLpnxECKjXa,1jfhMoC88bueFbxYuwUpNN",2016-10-19,day
2h52enO5BO7P2DVi1mhx0h,ROOKIES,0JvtoI1m1MFbXukBpztHK8,2016-03-24,day
0E4Q7cZDwOC6Y6he08vB49,"Marcus Brodowski,Kimberley Krump","3U5sS2ernX7nUjFZ9GSxWh,3TggUGYApDP4IRlUcpuKRY",2018-10-26,day
0d4Ma6tljqSjUzAXVEn0HZ,"Kunami,Orkun Turan","5S38Fb8LAmzaq3IO80C6I5,5aPJ0d7vSbKuRPo4XeSkJQ",2018-06-28,day
4DqxlbNXryUUmzyClkn54n,"Erdinc Erdogdu,Kivanch K","3lPVLCNJbiHmnms3lX4FlT,1OouAtcKfAtWUce8iURaoq",2013-07-22,day
23i5qurl8q7gDLOns9Bh1q,Cupido,4dLhakqpeWIymuJnoGTUfB,2018-09-28,day
1wzd0fCAx9xf2nDorBTo7U,Mentol x Katie Melua,26awN4BbmEFJz2w5A386sC,2016-01-31,day
3oBiuFkxWNw7iTkNlHaanw,Eden Prince,31Eea8xaK1xAMyJy2iWE0z,2017-03-03,day
22XtGGM6WLyJP9CQB3eNfV,"Asher,Alexandra Panayotova","4lAI6jiWfiec8dgvxMUyFe,2EQQzhnn2iTeBvzSSDhbhO",2018-04-13,day
0wEoXJSRfYLNJ2763IzohG,"Ian Storm,Michael Ford","6fllSzvyC7OruOFZisOELq,0pxkbA5HKBZkMyqyhINQqd",2019-04-05,day
1K41c8wlMlXHDvjOUXxxSM,WEKNOWNOTHING,7uYgmYmqdahHzqgbUOnB83,2016-02-19,day
1II3FtOHgc4Tbr6rRVmZkM,SKIY,39JhQRThBhrHgjXtIK3dGZ,2017-02-03,day
0hSyBIL9hQ9ece5lBpcrD4,"Ostwolf,Kirilova,Henri Purnell","5Jn27sOXDTvapaVLMJVA64,4H51XDqVz6PJ5OFTfuEzoJ,7cyJzgiJTXR3hf62l5zLOr",2018-04-05,day
245djD2fZK6QKuZnwekWph,"plucando,Emie","6WEId4lblcKSa90IGSti7j,7vMDKdgSZ2Scn4uzFdTDyZ",2018-07-20,day
3jyjKi3BOgH6F55j918A6K,The Mighty Fallen,7dvdBtMk7xHCEPlPR7eBav,2017-12-08,day
0Lk5f5FECsY78OQaeWvDZd,Fyresky,2q0tJZxr5ADr1OVDOESBSY,2017-07-08,day
2aM9N0KcesBazkcSSe426L,Trash Monroe,0LzKFVfnB13jMQ6bXTzyUa,2013-07-22,day
6eSxRFfIGJe7TdfxIGIvTd,Walk in Coma,70YmXo4a40qquGgUwMv88F,2016-06-01,day
2B7gUTFnF4CPriHjPZdtgJ,White Raven Down,5HZoHOtz0BQVnbbHJcAc2x,2018-06-15,day
3fFzUZ0Ds3EzMFXsIhqQtJ,Rolled Up Sleeves,2XIBAjdRxFCHIBUrAcc8eq,2019-01-28,day
58hVrrPWSKSXKzQQYJTEQZ,The Heretic Order,7aD5qbkToYCNJIgoRSMxH3,2018-06-22,day
6fmb0Kem1RVljfHSqcI6TT,Errant Shadow,32yImafufTQRCNtMvD4YSN,2018-12-18,day
0muWDxETI2dDzc0D3l87lM,Paolo Morena,2sP87aDDNu1NQImlIHLTlX,2018-05-01,day
0ABZoDnBJuvyZMCOi4Wqgl,Oh Maddie,4fJ4i3XFtk92SLJ7nqcsSF,2018-12-07,day
7bLrLLAGyxO1FJmC3aQxL3,The Fishes And I,4ELPYATckfgCRPWCgl6o9C,2017-09-14,day
0o1J0INvoNwT7aFZYCh2nO,Torque Armada,5g9pyGW603DQlig0OEkpA0,2018-08-24,day
0NkWan8EP8pV1viifPCyWR,Evil Edna,5fqqJYvfn0eKjaxMkL3z76,2018-12-08,day
46e9swzahkD6JRTZpXjN0G,ENILSounds,4OzICHv6oK0sL7gco6JibF,2018-05-10,day
7uAaCWOiKYBrb14oi6q5wu,Moondreams Music,2kqkSGHlIwUek8tVkfUB1N,2018-08-19,day
7v1y634kchi2Xc6GuPi6dt,Youth Illusion,7uD0q08W8oXKslrRA1NRyz,2019-03-01,day
6MFX0NB6gBbMoutSBwV8zf,Green Dolphin,3wphyELPLXlPb7eeperp6f,2019-01-25,day
4mF41s9DIo4DitmLrs0lid,Ghostwood Shanks,16634LhiEyjZrOhc7GMPVB,2018-09-21,day
4G4DwXLjhaG4khnx1UdFtd,The Lamplight Club,0GE5HgJchq2urDVnSFmTmP,2019-03-01,day
4AokXg2hl7q5wtcQDaTRLm,Karmataus,56Dwh6vaWjjDKDqL0gcw3s,2019-02-03,day
1wbxaMOAmg32Ok639mjptK,Beyond Defected,2XO9pokgFhXvbziiIORYMz,2019-02-18,day
4apzyWQaL0H5imOg6CYG1n,Ransoms,5nl8KOMb0FeYUzd46byfKc,2019-01-18,day
488gsfzjqFjt26Oe7I0bgV,"Jamie Williams,The Roots Collective","5eO1Bzn5an8VhHuTFmLAtq,3NX1jSmkTGATNBqib4SFgI",2018-04-20,day
3wIMeTlrfVzE4w8jx5gNez,"Scott Powers,Pete Murr","7sl5WajMSmyVUjTBQ8d4zC,3j9KOOl1MocHxulgLpwMNb",2018-02-26,day
4wf2zcrjFmY0D0C19d0eYf,Gallow Wood,50AJob8SHv1vA0AikmKnGl,2017-07-04,day
4kGpcMCerH8k5kiqvxp9E1,The Mighty Fallen,7dvdBtMk7xHCEPlPR7eBav,2019-04-04,day
6hqGdMnV2tUdZVXyPU5kMP,Parrilla,0t4EGjvde82KL9umwis2hh,2019-01-11,day
3NKn8ElbAFL6G6AR9qKHgK,Die Fidelen Mölltaler,1Y4TI8dYJBMjMSq6ojiMje,2001-01-01,day
6AyYgK0Dw4TNH1hqxwwPw8,Die Fidelen Mölltaler,1Y4TI8dYJBMjMSq6ojiMje,2007-01-01,day
0ggQxOwUCDqyRm1bb9ePXo,Die Fidelen Mölltaler,1Y4TI8dYJBMjMSq6ojiMje,2001-01-01,day
6sxatwDDcgfY0VwGUkZ6oy,Oesch's die Dritten,11ZDT1yZkvlXwv7RVqvUWe,2011-01-12,day
47C1vnIeO9WOYkqITt5pTw,Oesch's die Dritten,11ZDT1yZkvlXwv7RVqvUWe,2012-03-14,day
4sbgL3gESvBF7byxJIwxaV,Original Zilllertaler,0gko1MyngJMAGkqBB2y2K8,2007-10-02,day
3VmuzV9x8gQ9GaGTPzxe56,Slavko Avsenik und seine Original Oberkrainer,7dSisSXIg7tDRFTxjaWY0c,2003-01-01,day
4eUZ6DIml5Mf2s0QmKI2rw,Die Jungen Original Oberkrainer,7pRoDnDPxDoZg4aVFJc8Sy,2007-11-22,day
2vbjGXIe0CUUcsO6qcG0Vn,"Beatrice,Ernst Jakober","6l6JLklTHqQ3mJ5FUvj9j7,5FbWUSyWJ4GJ8VbCnOp4YL",2006-01-01,day
27UEZq3Z4OVYtPdKehbvUg,Sternstein Trio,002HslVN91LE0ePhVFi0FN,2014-05-30,day
0dUQxdTqDejuPi1rhpDQCE,Slavko Avsenik und seine Original Oberkrainer,7dSisSXIg7tDRFTxjaWY0c,1987-01-01,day
1rJWWhhGwbooW8Ao8YlALM,Slavko Avsenik und seine Original Oberkrainer,7dSisSXIg7tDRFTxjaWY0c,1990-04-01,day
7bO2SbBo58pCKbWs0m7Zxs,Die jungen Mölltaler,2MobLxnqWR2halWrgebH0n,2016-01-25,day
4ydhS1ItkDcPImb4BiwT0R,Die jungen Mölltaler,2MobLxnqWR2halWrgebH0n,2016-01-25,day
4qTa9xa8NPEs9Mtzvk9luQ,Original Siegener Stadtmusikanten,27oZJOcRYG01hkS95fTorB,2014-10-10,day
3nGbAEsAOMWl50T8sLy2Lq,"Kölsche Katti,Schunkelpitter","5mMkBnMNmUCj7a963EBQv9,2lJMTnvbYHLj0040d7gw8K",2014-10-10,day
7Cu2JjFYseaheA36Aehgt4,Zillertaler Schürzenjäger,1Co7VCKyS0KXwn3SiKXykR,1987-09-16,day
2veSWHBkKhWZV2tYH7lWbW,Ländlertrio Stockbergbuebe,2Byp5MRobwJbSbyrPswLQX,2017-09-15,day
14m4h8KRTIZIU2yLo7zHbE,Zillertaler Schürzenjäger,1Co7VCKyS0KXwn3SiKXykR,2008,year
2HYUkqFxaVlijK0mlYMsCI,Die Fidelen Mölltaler,1Y4TI8dYJBMjMSq6ojiMje,2016-08-11,day
1Mv0l3ESfHyQX2KdB8FId0,BlechReizPop,5DYr3qfxygUX8GFaErjaY8,2016-12-16,day
7LVKtLRyan6K0s7jhAiInM,Slavko Avsenik und seine Original Oberkrainer,7dSisSXIg7tDRFTxjaWY0c,2003-01-01,day
4mc8JD6WkvdVNxsJQqZF5g,Slavko Avsenik und seine Original Oberkrainer,7dSisSXIg7tDRFTxjaWY0c,2003-01-01,day
7jKvjNLdOnJXWz3ODLn3FT,Ilztal Granaten,0qdQk5IrmZEvhv5xrPGetq,2013-05-14,day
0UQj5UduMgpn6qyWIJObyb,Zillertaler Mander,1FbohdkiJtGf2RXTnoUi57,2011-07-20,day
