ID,artist_names,artist_ids,release_date,release_date_precision
3ZB4h7rWKKIMC06EzFiuE9,Freddie Joachim,0GgkfnO3Bu2CFn65ZH31TF,2009-01-01,day
17PSuuW5NM5GrYtFx99IFq,Will Sessions,6QA1jIAC7i52uJi8jbJDWB,2011-09-27,day
5mUNFqUbA1bY9l1qT9tyHT,Madlib,5LhTec3c7dcqBvpLRWbMcf,2003,year
2uSwMfdqT9k79j5Q7wAbgF,DJ Jazzy Jeff,3nmiIgeri4vEY7y0VpbsCn,2007-05-07,day
2OCJqRUfe8mUxVW0zO47Lo,DJ Mitsu The Beats,4F8O7axjzw3z0xVPRG8JFS,2012-04-25,day
50e8KL7TnyNKLaWfCSr0xf,Jazz Liberatorz,6wq0ypfSKR1Baqi4qoJWsq,2009-05-11,day
6JadvSKE7WPUr0Jyi6Tf2q,Slum Village,1020a42xVklY6c56imNcaa,2010-10-12,day
2HlDkSeQVfB6Q7QTo8TnY5,The Pharcyde,7yk35uHNQclPXFGFoTU44w,1995-01-01,day
4aNsaULjrRRMUPXP9IcDEa,DJ Cam Quartet,0DkOD427BCfr11yQVvfqU9,2013-01-07,day
60k0s9OMDbkXfNikR5eJyf,Comfort Fit,6jYgyy8XzPIpy3SKs0BxZ2,2007-01-01,day
7pVBcXNKtXqsjS739x868n,Freddie Joachim,0GgkfnO3Bu2CFn65ZH31TF,2010-07-16,day
6LacVt4rX7KRyGIIy9pYFs,Suff Daddy,7BYXrz5LhCrix6A3EwPvU0,2009-09-04,day
3F1cVurf5O2SBcJvSvY4cq,Ta-ku,13Kd75NSHSp9lB4CaqPMOV,2013-06-21,day
5Z1JjbL2RQyIdN35SdpdNv,Fat Jon,5Fmr3KeGe2IAVFmMxUq1sD,2009-07-10,day
6Ns2JyCa5xtANadq8gJ67u,Onra,2sAlo7Fey5cqBk5WJILSd8,2011-11-15,day
6IkwNDSDa3AGJnv1eHlZ4p,Abstrakt Idea,6eUbkwKzcwBN2X8ox1Onyz,2011-01-11,day
41hXE5S8D4mRfcdqSMpmAC,Tomppabeats,0Q2Tc5yZFJpumLMc7Yz4e4,2016-05-06,day
0snDw9DJHa3AVCso1LEmhM,Black Milk,77zgRkcehIGCAtROXkXkb3,2013-04-20,day
5EqGquh3ajBQjudpLLhJKy,Khruangbin,2mVVjNmdjXZZDvhgQWiakk,2015-11-06,day
56zxZc1luYs2HIXTkFGs05,Padma Purana,2nebIURM77CcBY8Q5y187K,2018-08-14,day
1axGYAlWHEYxq0Lr3iWdIo,"Mr. Oizo,Skrillex","0b9ukmbg0MO5eMlorcgOwz,5he5w2lnU9x7JFhnwcekXX",2016-09-30,day
7hU38LHqMSPFrvoqADFJp4,"Skrillex,Habstrakt","5he5w2lnU9x7JFhnwcekXX,1YYJxpOXYk1z1WtqdeLMkn",2017-05-05,day
5GHb72Wb3FiB29SOD4ZfoO,Getter,3QryVD03gGZOLQQXjy3EoA,2015-06-16,day
7q88QfUpZr9nJNE0iDQgRT,"Getter,Adair,Georgia Ku","3QryVD03gGZOLQQXjy3EoA,23reFfkBnJzruOm2vAsVLM,5mYakBbBzPMQTfkVMIgiDM",2016-03-11,day
56gJHV1MkyHIS4eDFbzoVa,"RL Grime,What So Not,Skrillex","5eIbEEQnDM8yuDVB0bimSP,4AA8eXtzqh5ykxtafLaPOi,5he5w2lnU9x7JFhnwcekXX",2016-11-03,day
22UlKuHDa7r3Pyg47CJNI6,"Yellow Claw,Juicy J,Lil Debbie","47z7ZrgFoBvVpCnElCE3Zh,5gCRApTajqwbnHHPbr2Fpi,3FNZcjyqT7F5upP99JV0oN",2017-03-31,day
7l0u38sWDqqk6TySNOZtO3,"Dillon Francis,G-Eazy","5R3Hr2cnCCjt220Jmt2xLf,02kJSzxNuaWGqwubyUba0Z",2017-04-05,day
6zpCJDhdpHPZCcFCJZDqX5,"What So Not,Branchez","4AA8eXtzqh5ykxtafLaPOi,4T5kpUiQUVJhuf9YT28qlf",2013-10-08,day
3GO5rhSwva3FehBw36GhF3,"josh pan,X&G","2sfSQ1BOzaFQa3LZj6OGwD,5ic5UHDgniVG1xKLAIU9sG",2017-01-27,day
61CpxUycLbOgiuZWTK8KFV,Boaz van de Beatz,7Gl7G1JK7feTWHy1YJExfw,2016-01-29,day
00k4IcdhoUtt3fBATrDyhh,Skrillex,5he5w2lnU9x7JFhnwcekXX,2014-03-14,day
3FUZpoj9VV0sgc8RqbS3xQ,"Skrillex,Sirah","5he5w2lnU9x7JFhnwcekXX,3oAazIwC0nAYkOKVQPUC38",2011-12-27,day
0sW7xBDLtKuGvcPxmt75CT,"Ekali,Denzel Curry,Skrillex,Ronny J","0Y0QSi6lz1bPik5Ffjr8sd,6fxyWrfmjcbj5d12gXeiNV,5he5w2lnU9x7JFhnwcekXX,3TKCdsX8yNNoiC1gesn6or",2017-10-06,day
6m3ZWIXhjoV76syT1j2oE9,"Dillon Francis,Kygo,James Hersey","5R3Hr2cnCCjt220Jmt2xLf,23fqKkggKUBHNkbKtXEls4,0lzV2CiahHRiGd6qpADtPS",2015-08-14,day
0fMMtO0pOYIGWfbJmrqfVJ,"Dillon Francis,Will Heard","5R3Hr2cnCCjt220Jmt2xLf,39AZSw4A8hCFWunEg2k89Z",2016-09-16,day
6jNM6fKx3WnyHbWBI9hs2r,"Benny Benassi,Gary Go","4Ws2otunReOa6BbwxxpCt6,6beTArFVpUujvkHi9FVPqs",2011,year
2BxS1vmwDBXd5bczb5sjLL,Getter,3QryVD03gGZOLQQXjy3EoA,2017-03-10,day
16OHJ56wolchnjJyD4YHMh,RayRay,4FS6bomikvJR2E9JHNwiAM,2017-06-26,day
